id;titulo;ano;diretor;duracao;generos;pais;orcamento;receita;nota_imdb;ator_1;ator_2;ator_3
tt0036868;I migliori anni della nostra vita;1946;William Wyler;170;Drama| Romance| War;USA;2100000;23656620;8,0;Myrna Loy; Fredric March; Dana Andrews
tt0036870;Go Down, Death!;1945;Spencer Williams;56;Drama;USA;NA;NA;5,1;Myra D. Hemmings; Samuel H. James; Eddye L. Houston
tt0036872;La mia via;1944;Leo McCarey;126;Comedy| Drama| Music;USA;NA;NA;7,0;Bing Crosby; Barry Fitzgerald; Frank McHugh
tt0036880;The Great Moment;1944;Preston Sturges;83;Biography| Comedy| Drama;USA;NA;NA;6,3;Joel McCrea; Betty Field; Harry Carey
tt0036881;Samba d'amore;1944;Walter Lang;82;Comedy| Drama| Music;USA;NA;NA;6,1;Carmen Miranda; Don Ameche; William Bendix
tt0036886;Veleno in paradiso;1944;John Brahm, John Cromwell;121;Drama| Film-Noir;USA;NA;NA;6,2;Anne Baxter; Ralph Bellamy; Aline MacMahon
tt0036891;Evviva il nostro eroe;1944;Preston Sturges;101;Comedy| War;USA;NA;NA;7,6;Eddie Bracken; Ella Raines; Raymond Walburn
tt0036892;Il diavolo nero;1944;Alfred Santell;92;Drama| Film-Noir;USA;NA;NA;6,1;William Bendix; Susan Hayward; John Loder
tt0036909;Henry Aldrich, Boy Scout;1944;Hugh Bennett;66;Comedy;USA;NA;NA;4,7;Jimmy Lydon; Charles Smith; John Litel
tt0036912;Here Come the Waves;1944;Mark Sandrich;99;Comedy| Musical| Romance;USA;NA;NA;6,2;Bing Crosby; Betty Hutton; Sonny Tufts
tt0036919;Higher and Higher;1943;Tim Whelan;90;Comedy| Musical| Romance;USA;600000;NA;6,0;Michèle Morgan; Jack Haley; Frank Sinatra
tt0036921;The Hitler Gang;1944;John Farrow;101;Biography| Drama| History;USA;NA;NA;6,7;Bobby Watson; Roman Bohnen; Martin Kosleck
tt0036922;Ho baciato una stella;1944;Delmer Daves;124;Comedy| Musical| Romance;USA;NA;NA;7,1;The Andrews Sisters; Jack Benny; Joe E. Brown
tt0036926;Due donne e un puro sangue;1944;Henry Hathaway;106;Adventure| Drama| Romance;USA;NA;NA;6,7;Walter Brennan; Lon McCallister; Jeanne Crain
tt0036930;Un'ora prima dell'alba;1944;Frank Tuttle;74;Drama| War;USA;NA;NA;5,8;Veronica Lake; Franchot Tone; John Sutton
tt0036931;Al di là del mistero;1944;Erle C. Kenton;71;Fantasy| Horror| Sci-Fi;USA;NA;NA;6,3;Boris Karloff; Lon Chaney Jr.; J. Carrol Naish
tt0036940;Al tuo ritorno;1944;William Dieterle, George Cukor;85;Drama| Family| Romance;USA;3250000;NA;7,2;Ginger Rogers; Joseph Cotten; Shirley Temple
tt0036941;I'm from Arkansas;1944;Lew Landers;70;Adventure| Comedy| Music;USA;NA;NA;5,7;Slim Summerville; El Brendel; Iris Adrian
tt0036950;Anni impazienti;1944;Irving Cummings;91;Comedy| Drama| Romance;USA;600000;NA;6,5;Jean Arthur; Lee Bowman; Charles Coburn
tt0036951;L'impostore;1944;Julien Duvivier;92;Drama| War;USA;NA;NA;6,3;Jean Gabin; Richard Whorf; Allyn Joslyn
tt0036952;Bombe su Varsavia;1944;Vincent Sherman;110;Drama;USA;NA;NA;6,6;Ida Lupino; Paul Henreid; Nancy Coleman
tt0036953;Gianni e Pinotto in società;1944;Jean Yarbrough, Erle C. Kenton;75;Action| Comedy| Crime;USA;660000;NA;6,8;Bud Abbott; Lou Costello; Marion Hutton
tt0036955;Nel frattempo, Cara;1944;Otto Preminger;72;Comedy| War;USA;NA;NA;5,5;Jeanne Crain; Frank Latimore; Eugene Pallette
